"Nom","Latitude","Longitude","Population"
"Anderlecht","50.842989","4.329696",118920
"Auderghem","50.816269","4.433630",33970
"Berchem-Sainte-Agathe","50.867495","4.292965",25195
"Bruxelles","50.733183","4.436117",179797
"Etterbeek","50.838881","4.390485",48194
"Evere","50.864549","4.400135",42444
"Forest","50.810635","4.32491",56441
"Ganshoren","50.869363","4.312332",25222
"Ixelles","50.835549","4.366051",87385
"Jette","50.877103","4.327729",52459
"Koekelberg","50.864891","4.333086",21886
"Molenbeek-Saint-Jean","50.85518","4.342221",97365
"Saint-Gilles","50.82724","4.346762",49094
"Saint-Josse-Ten-Noode","50.852112","4.367682",27199
"Schaerbeek","50.863715","4.378198",131548
"Uccle","50.802483","4.338319",83631
"Watermael-Boitsfort","50.809617","4.401701",25318
"Woluwe-Saint-Lambert","50.851874","4.413006",57583
"Woluwe-Saint-Pierre","50.833303","4.432686",42066
